emp_id,name,department,city,join_year,salary
1,Emp1,IT,Bangalore,2019,52000
2,Emp2,IT,Hyderabad,2020,54000
3,Emp3,HR,Chennai,2018,48000
4,Emp4,Finance,Pune,2019,65000
5,Emp5,Sales,Bangalore,2021,47000
6,Emp6,IT,Chennai,2022,72000
7,Emp7,HR,Hyderabad,2020,51000
8,Emp8,Finance,Bangalore,2018,68000
9,Emp9,Sales,Pune,2021,49000
10,Emp10,IT,Hyderabad,2019,56000
11,Emp11,IT,Bangalore,2020,59000
12,Emp12,HR,Chennai,2021,52000
13,Emp13,Finance,Pune,2022,71000
14,Emp14,Sales,Hyderabad,2019,46000
15,Emp15,IT,Bangalore,2018,53000
16,Emp16,HR,Pune,2020,50000
17,Emp17,Finance,Chennai,2021,69000
18,Emp18,Sales,Bangalore,2022,48000
19,Emp19,IT,Hyderabad,2023,76000
20,Emp20,HR,Chennai,2019,49000
21,Emp21,Finance,Pune,2020,67000
22,Emp22,Sales,Bangalore,2021,51000
23,Emp23,IT,Chennai,2018,55000
24,Emp24,HR,Hyderabad,2022,53000
25,Emp25,Finance,Bangalore,2023,74000
26,Emp26,Sales,Pune,2019,47000
27,Emp27,IT,Bangalore,2020,58000
28,Emp28,HR,Chennai,2021,52000
29,Emp29,Finance,Hyderabad,2018,66000
30,Emp30,Sales,Bangalore,2022,50000
31,Emp31,IT,Pune,2023,77000
32,Emp32,HR,Bangalore,2019,51000
33,Emp33,Finance,Chennai,2020,68000
34,Emp34,Sales,Hyderabad,2021,49000
35,Emp35,IT,Bangalore,2022,72000
36,Emp36,HR,Pune,2018,48000
37,Emp37,Finance,Bangalore,2019,65000
38,Emp38,Sales,Chennai,2020,47000
39,Emp39,IT,Hyderabad,2021,69000
40,Emp40,HR,Bangalore,2022,53000
41,Emp41,Finance,Pune,2023,76000
42,Emp42,Sales,Hyderabad,2019,46000
43,Emp43,IT,Chennai,2020,56000
44,Emp44,HR,Bangalore,2021,52000
45,Emp45,Finance,Hyderabad,2022,70000
46,Emp46,Sales,Pune,2018,48000
47,Emp47,IT,Bangalore,2019,54000
48,Emp48,HR,Chennai,2020,50000
49,Emp49,Finance,Bangalore,2021,68000
50,Emp50,Sales,Hyderabad,2022,51000
51,Emp51,IT,Bangalore,2018,55000
52,Emp52,HR,Hyderabad,2019,51000
53,Emp53,Finance,Chennai,2020,68000
54,Emp54,Sales,Pune,2021,49000
55,Emp55,IT,Bangalore,2022,72000
56,Emp56,HR,Chennai,2023,53000
57,Emp57,Finance,Hyderabad,2019,66000
58,Emp58,Sales,Bangalore,2020,48000
59,Emp59,IT,Pune,2021,69000
60,Emp60,HR,Bangalore,2022,52000
61,Emp61,Finance,Chennai,2023,75000
62,Emp62,Sales,Hyderabad,2018,47000
63,Emp63,IT,Bangalore,2019,56000
64,Emp64,HR,Pune,2020,50000
65,Emp65,Finance,Bangalore,2021,70000
66,Emp66,Sales,Chennai,2022,49000
67,Emp67,IT,Hyderabad,2023,76000
68,Emp68,HR,Bangalore,2018,48000
69,Emp69,Finance,Pune,2019,65000
70,Emp70,Sales,Bangalore,2020,51000
71,Emp71,IT,Chennai,2021,58000
72,Emp72,HR,Hyderabad,2022,53000
73,Emp73,Finance,Bangalore,2023,74000
74,Emp74,Sales,Pune,2018,47000
75,Emp75,IT,Bangalore,2019,54000
76,Emp76,HR,Chennai,2020,51000
77,Emp77,Finance,Hyderabad,2021,69000
78,Emp78,Sales,Bangalore,2022,50000
79,Emp79,IT,Pune,2023,77000
80,Emp80,HR,Bangalore,2018,48000
81,Emp81,Finance,Chennai,2019,66000
82,Emp82,Sales,Hyderabad,2020,49000
83,Emp83,IT,Bangalore,2021,60000
84,Emp84,HR,Pune,2022,52000
85,Emp85,Finance,Bangalore,2023,75000
86,Emp86,Sales,Chennai,2018,47000
87,Emp87,IT,Hyderabad,2019,56000
88,Emp88,HR,Bangalore,2020,50000
89,Emp89,Finance,Pune,2021,68000
90,Emp90,Sales,Bangalore,2022,51000
91,Emp91,IT,Chennai,2023,78000
92,Emp92,HR,Hyderabad,2018,48000
93,Emp93,Finance,Bangalore,2019,65000
94,Emp94,Sales,Pune,2020,47000
95,Emp95,IT,Bangalore,2021,59000
